Table Name,State Code,District Code,Area Name,Total/Rural/Urban,Educational Level,Non-Workers - Persons,Non-Workers - Males,Non-Workers - Females,Main Activity Students - Persons,Main Activity Students - Males,Main Activity Students - Females,Main Activity Household Duties - Persons,Main Activity Household Duties - Males,Main Activity Household Duties - Females,Main Activity Dependents - Persons,Main Activity Dependents - Males,Main Activity Dependents - Females,Main Activity Pensioners - Persons,Main Activity Pensioners - Males,Main Activity Pensioners - Females,Main Activity Rentiers - Persons,Main Activity Rentiers - Males,Main Activity Rentiers - Females,"Main Activity Beggars, Vagrants etc. - Persons","Main Activity Beggars, Vagrants etc. - Males","Main Activity Beggars, Vagrants etc. - Females",Main Activity Others - Persons,Main Activity Others - Males,Main Activity Others - Females
B0515,3,0,State - Punjab,Urban,Literate,4615231,1675036,2940195,2172228,1191880,980348,1644239,53521,1590718,284477,115985,168492,151029,108762,42267,5678,2866,2812,860,675,185,356720,201347,155373
B0515,3,0,State - Punjab,Urban,Literate but below Matric/Secondary,2263295,960190,1303105,1420278,800110,620168,576118,21115,555003,139990,60738,79252,27580,17240,10340,2448,1119,1329,567,460,107,96314,59408,36906
B0515,3,0,State - Punjab,Urban,Matric/Secondary but below Graduate,1546354,487958,1058396,565952,298730,267222,687347,20988,666359,90420,35694,54726,53303,42868,10435,2073,1137,936,166,123,43,147093,88418,58675
B0515,3,0,State - Punjab,Urban,Technical Diploma or Certificate not equal to Degree,66713,34382,32331,27860,18697,9163,11473,686,10787,2742,1498,1244,15514,7428,8086,97,62,35,1,1,0,9026,6010,3016
B0515,3,0,State - Punjab,Urban,Graduate and above other than Technical Degree,487105,107217,379888,81841,34841,47000,271562,6541,265021,25821,6924,18897,38555,30545,8010,739,394,345,29,16,13,68558,27956,40602
B0515,3,0,State - Punjab,Urban,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,123205,46955,76250,54441,27004,27437,32345,1157,31188,4296,1573,2723,10987,7557,3430,91,55,36,2,2,0,21043,9607,11436
B0515,4,0,State - Chandigarh,Total,Total,651314,252504,398810,294959,161672,133287,183861,2124,181737,113630,55679,57951,25094,17798,7296,1575,1057,518,114,83,31,32081,14091,17990
B0515,4,0,State - Chandigarh,Total,Illiterate,192958,74326,118632,43603,23417,20186,47792,702,47090,95091,47741,47350,2395,966,1429,317,157,160,74,51,23,3686,1292,2394
B0515,4,0,State - Chandigarh,Total,Literate,458356,178178,280178,251356,138255,113101,136069,1422,134647,18539,7938,10601,22699,16832,5867,1258,900,358,40,32,8,28395,12799,15596
B0515,4,0,State - Chandigarh,Total,Literate but below Matric/Secondary,228674,99854,128820,160483,89412,71071,48654,611,48043,9457,4212,5245,2863,1791,1072,335,215,120,26,23,3,6856,3590,3266
B0515,4,0,State - Chandigarh,Total,Matric/Secondary but below Graduate,136571,48785,87786,68272,37121,31151,48010,464,47546,5046,2161,2885,5778,4469,1309,396,298,98,9,7,2,9060,4265,4795
B0515,4,0,State - Chandigarh,Total,Technical Diploma or Certificate not equal to Degree,6257,3743,2514,2822,2126,696,919,22,897,200,110,90,1537,943,594,44,34,10,0,0,0,735,508,227
B0515,4,0,State - Chandigarh,Total,Graduate and above other than Technical Degree,66279,18518,47761,13540,6069,7471,31151,220,30931,2317,816,1501,10143,8003,2140,401,297,104,5,2,3,8722,3111,5611
B0515,4,0,State - Chandigarh,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,13927,5662,8265,5305,2970,2335,3710,45,3665,395,164,231,1997,1399,598,59,44,15,0,0,0,2461,1040,1421
B0515,4,0,State - Chandigarh,Rural,Total,16641,6486,10155,6962,3903,3059,4605,26,4579,3941,2009,1932,274,208,66,75,59,16,0,0,0,784,281,503
B0515,4,0,State - Chandigarh,Rural,Illiterate,6585,2655,3930,1370,725,645,1407,12,1395,3583,1837,1746,78,36,42,24,17,7,0,0,0,123,28,95
B0515,4,0,State - Chandigarh,Rural,Literate,10056,3831,6225,5592,3178,2414,3198,14,3184,358,172,186,196,172,24,51,42,9,0,0,0,661,253,408
B0515,4,0,State - Chandigarh,Rural,Literate but below Matric/Secondary,6393,2709,3684,4302,2437,1865,1538,4,1534,224,105,119,77,60,17,25,19,6,0,0,0,227,84,143
B0515,4,0,State - Chandigarh,Rural,Matric/Secondary but below Graduate,2879,895,1984,1091,620,471,1291,6,1285,100,44,56,84,81,3,18,16,2,0,0,0,295,128,167
B0515,4,0,State - Chandigarh,Rural,Technical Diploma or Certificate not equal to Degree,48,34,14,35,27,8,4,1,3,0,0,0,3,3,0,0,0,0,0,0,0,6,3,3
B0515,4,0,State - Chandigarh,Rural,Graduate and above other than Technical Degree,525,125,400,108,58,50,270,1,269,13,9,4,27,24,3,7,6,1,0,0,0,100,27,73
B0515,4,0,State - Chandigarh,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,86,37,49,32,25,7,25,0,25,5,3,2,1,0,1,0,0,0,0,0,0,23,9,14
B0515,4,0,State - Chandigarh,Urban,Total,634673,246018,388655,287997,157769,130228,179256,2098,177158,109689,53670,56019,24820,17590,7230,1500,998,502,114,83,31,31297,13810,17487
